name,srid,active,hof,positions,start,end,letter,seasons,games,dob,dod
Isaako Aaitui,AaitIs00,False,False,NT,2013,2014,A,2,4,1987-01-25,NA
Joe Abbey,AbbeJo20,False,False,E,1948,1949,A,2,18,1925-03-21,2014-03-06
Fay Abbott,AbboFa20,False,False,BB-FB-TB-QB-WB-E,1921,1929,A,9,57,1895-08-16,1965-01-22
Vince Abbott,abbotvin01,False,False,K,1987,1988,A,2,23,1959-05-31,NA
Jared Abbrederis,AbbrJa00,True,False,WR,2014,2017,A,4,21,1990-12-17,NA
Duke Abbruzzi,AbbrDu20,False,False,HB-DB,1946,1946,A,1,3,1917-08-03,1982-12-06
Mehdi Abdesmad,AbdeMe00,True,False,DE,2016,2016,A,1,2,1991-09-28,NA
Karim Abdul-Jabbar,AbduKa00,False,False,RB,1996,2000,A,6,61,1974-06-28,NA
Isa Abdul-Quddus,AbduIs00,False,False,S,2011,2016,A,6,89,1989-08-03,NA
Ameer Abdullah,AbduAm00,True,False,RB,2015,2017,A,3,32,1993-06-13,NA
Hamza Abdullah,AbduHa20,False,False,DB,2005,2011,A,8,48,1983-08-20,NA
Husain Abdullah,AbduHu99,False,False,DB,2008,2015,A,7,97,1985-07-27,NA
Khalid Abdullah,AbduKh20,False,False,LB,2003,2003,A,1,16,1979-03-06,NA
Rabih Abdullah,AbduRa00,False,False,RB,1999,2004,A,6,83,1975-04-27,NA
Rahim Abdullah,AbduRa20,False,False,LB,1999,2000,A,2,29,1976-03-22,NA
Fred Abel,AbelFr20,False,False,BB-FB,1926,1926,A,1,3,1903-07-17,1980-08-02
Bud Abell,AbelBu20,False,False,LB,1966,1968,A,3,40,1940-12-21,NA
Walter Abercrombie,AberWa00,False,False,RB,1982,1988,A,7,84,1959-09-26,NA
Cliff Aberson,AberCl20,False,False,TB-DB,1946,1946,A,1,10,1921-08-28,1973-06-23
Victor Abiamiri,AbiaVi99,False,False,DE,2007,2009,A,3,29,1986-01-14,NA
Oday Aboushi,AbouOd00,True,False,OT,2014,2017,A,4,34,1991-06-05,NA
Clifton Abraham,AbraCl20,False,False,DB,1995,1997,A,3,9,1971-12-09,NA
Donnie Abraham,AbraDo00,False,False,DB,1996,2004,A,9,132,1973-10-08,NA
John Abraham,AbraJo00,False,False,DE,2000,2014,A,15,192,1978-05-06,NA
Robert Abraham,AbraRo20,False,False,LB,1982,1987,A,6,73,1960-07-13,NA
Danny Abramowicz,AbraDa00,False,False,E,1967,1974,A,9,111,1945-07-13,NA
Sid Abramowitz,AbraSi20,False,False,T,1983,1987,A,4,22,1960-05-21,NA
Bobby Abrams,AbraBo20,False,False,LB,1990,1995,A,9,74,1967-04-12,NA
