srid,dob,dod
JaneCl20,1911-04-01,1990-01-16
JohnHe21,1928-07-10,
HendA.00,1993-04-08,
FrizWi20,1962-09-08,
HarrNi00,1994-12-07,
BollDo20,1927-07-16,2001-12-29
DogiKe20,1972-12-07,
KhayBo20,1938-04-18,
LeggSc20,1962-09-02,1997-02-25
MariMa20,1939-08-06,
ScruGr00,1990-08-17,
BranAn00,1989-07-14,
WillRo03,1980-08-14,
HegaBi20,1931-06-30,2002-10-31
BassRe20,1913-02-25,2010-08-03
BussGe20,1943-09-07,
KurtJo20,1907-01-23,1987-01-06
HollMa20,1973-07-16,
OjomAd00,1988-11-11,
DiekDo00,1949-02-12,
ToneAn00,1962-09-23,
ProcXa00,1990-11-01,
McKeMa00,1940-01-01,2006-10-27
BrinKy00,1993-01-13,
WashTi20,1959-11-07,1992-01-04
BinnDa20,1972-02-06,
HopeCh21,1980-09-29,
ThomOr20,1972-10-21,2014-11-09
GarzSa20,1965-07-10,
BuncDe20,1961-10-28,
MillLa00,1973-11-14,
PoexBi20,1964-04-26,
BurrJo20,1972-05-17,
PerkJo02,1993-08-05,
FlutDa00,1966-11-18,
LongDo20,1955-05-24,2012-01-21
McLeTh20,1970-03-14,
HoptAl20,1915-09-07,1981-04-06
JackFr20,1940-10-05,
IgweEm00,1989-03-27,
DawsCl00,1983-10-08,
MillHa20,1930-02-04,2011-11-21
BuckCu20,1892-08-07,1966-06-14
GulsDo20,1942-09-11,2011-11-21
TaylLe21,1961-02-15,
BrowNo00,1996-01-06,
ElliBr00,1991-08-22,
HartSh20,1978-08-04,
stenejan01,1942-11-26,
WhitBo25,1959-05-07,
WilsBo21,1968-03-04,
KingRi21,1949-07-18,
KehlBr99,1984-06-16,
ColoWi20,1983-04-09,
SainBr00,1988-12-14,
WhalGr00,1990-03-01,
PoweDi20,1904-05-21,1986-04-29
WillJi23,1984-03-08,
CrawKe02,1993-02-08,
BoldVi00,1995-04-04,
CampDa00,1976-04-13,
SwaiAl20,1904-09-05,1993-09-24
JoneGo00,1957-07-25,
SwaySh20,1974-09-04,
WillJo01,1947-03-30,
KirkHe20,1898-09-02,1967-02-26
KimbBi00,1936-01-31,
ElleGe20,1921-03-24,1995-03-17
DaviTr02,1991-01-06,
JenkA.20,1966-04-12,
DaugDi00,1929-03-31,2009-03-10
TobiLe20,,1952-11-29
AndeDo20,1963-07-08,
MattSh00,1970-06-01,
HollDa20,1973-11-10,
ClemAn20,1976-04-10,
FarrKe02,1993-03-07,
GiveRe20,1971-10-03,
ShipA.20,1986-05-22,
LingGo20,1964-11-11,
BryaDe01,1988-11-04,
RisoAn00,1967-03-18,
BellVi20,1963-06-02,
SmitCa00,1932-11-22,2003-05-29
RileLe20,1932-08-24,2011-06-09
BerrRa00,1933-02-27,
SullBo21,1924-12-24,1992-11-12
DoweMu20,1913-06-27,1992-08-12
WillJa25,1965-05-16,2010-05-25
MaiaKa99,1987-03-22,
BernGe20,1903-04-01,
SmitWe21,1963-06-24,
KronGa20,1940-11-06,
McGeBo20,1912-07-28,1963-09-01
RhodDo20,1909-07-09,1968-01-01
GumbJo00,1988-04-20,
VandKy99,1978-11-17,
ManiJa20,1972-08-15,
HarmDe00,1963-04-26,
ManuSe20,1973-12-01,
BestTe20,1899-09-25,1965-07-19
ClarGr20,1965-03-05,
ThomJo28,1984-12-04,
BradJo20,1981-01-13,
WeltTo20,1964-02-24,
WillEd02,1986-12-10,
gallejam01,1961-09-15,
AdamBl20,1979-10-15,
ParkRi21,1972-11-20,
BarnMi00,1950-12-24,
BeckDa99,1987-05-15,
MalbAn20,1976-12-09,
RiceSi01,1986-09-01,
ParkJe23,1964-09-14,
HansRo21,1929-09-24,
WrigSt20,1942-07-17,
BradMo00,1952-10-19,
JoneOn20,1983-12-22,
KirkGe20,1901-09-21,1996-03-20
CraiNe20,1948-04-21,
HamiDo00,1989-01-18,
SagnTo20,1964-02-28,
GreeVi20,1969-12-08,
NichSt99,1983-05-01,
MayxMa00,1959-11-02,
BrowGo21,1951-12-05,
WallBe20,1923-03-07,1992-06-17
DaviBr23,1956-06-21,
ChoaPu20,1956-12-11,
WebbDu20,1901-12-15,1985-06-15
GreeAa01,1992-10-15,
GrayCe20,1968-02-16,
PritSt20,1920-12-21,2015-06-06
KralGe20,1927-04-19,
KozlGl00,1962-12-31,
ElflPa00,1994-07-06,
MillBl20,1889-05-03,1987-01-09
MaceJo20,1930-11-02,1984-10-12
WillSh20,1976-10-10,
BreiBo20,1943-04-08,
KaspKe00,1977-12-23,
KompJo20,1936-04-12,2014-04-21
HamxDe20,1975-03-23,
WilkMa20,1980-01-02,
LewiJa00,1979-08-29,
HarrVi99,1986-02-16,
LampJa00,1993-06-11,
WoodRo20,1965-10-03,
McDoFl20,1921-02-12,2002-02-12
JoneKe22,1979-01-18,
SmitBe20,1911-06-16,1941-02-23
BensTh20,1961-09-06,
MabrRo20,1951-06-04,2017-11-10
VillDa21,1937-11-05,2015-06-18
MassCa00,1930-01-17,1989-05-22
McVeJo20,1962-10-19,
DennVi20,1916-11-17,1989-08-09
BensCh20,1960-11-21,
GarrDa00,1978-02-14,
EkerCa00,1954-05-27,1990-08-01
ThorWi20,1917-01-08,1998-07-16
CoheDu20,1976-12-22,
ZimmTy00,1990-06-23,
BuckTe20,1971-06-07,
JonaDo20,1938-12-03,
WaleCr20,1977-07-11,
ZimmDo00,1949-11-22,
KostMa20,1901-11-11,1961-09-00
EaslKe00,1959-01-15,
SeymBo20,1916-06-13,1977-05-00
WillJa29,1981-07-26,
GantJe20,1948-10-20,
blanccar01,1968-11-05,2016-09-12
JohnRi00,1961-10-19,
VinsTo00,1971-03-13,
BoykMc99,1983-03-24,
McFaBu00,1928-08-21,2006-02-13
DarcJe20,1975-02-28,
McKaJo00,1953-03-28,
RobeRa20,1969-06-03,
MillCh21,,
SoweBr00,1989-06-06,
BethBo20,1938-12-10,
MillEd21,1969-06-20,
HorwAr20,1898-07-07,1985-08-05
CampMa21,1972-07-14,
MorrAl00,1988-12-12,
marleset01,1981-03-27,
ReamCh20,1913-12-12,2010-08-21
JoneMa00,1983-04-22,
HaleDe20,1982-02-18,
WellBo20,1945-08-04,1994-08-07
RidlJi20,1934-07-11,
HolmLe99,1985-10-28,
IzoxGe00,1937-09-20,
BarnTo00,1937-07-11,
OatsCa20,1942-04-24,
FranJe21,1959-05-04,
BrowGa00,1969-07-01,
BrooTo21,1969-08-17,
BuivRa20,1915-08-15,1972-07-05
GermJa00,1974-07-04,
HodeMe20,1931-05-27,1988-06-15
GlovKe00,1963-06-17,
HadnJa00,1957-07-11,2017-03-31
EatoSc20,1944-08-20,
FifeBi20,1955-10-26,
ArkiDa00,1987-10-07,
McIlWa20,1903-01-20,1963-06-30
LarkEr20,1962-05-14,
JoneDh20,1978-02-22,
HighLe20,1895-02-17,1975-11-16
EvanFr20,1921-05-23,2007-06-21
StovSm20,1938-08-24,
LewiPa00,1991-01-30,
FostJe20,1960-07-25,
ThraJa00,1975-04-28,
DareMa00,1990-03-13,
ShelBr01,1993-02-23,
SmitEr24,1930-07-06,
CorrCh20,1956-05-17,
BarrTe00,1935-08-10,2009-05-28
HardIs20,1899-03-28,1983-01-23
BatiMi20,1970-12-24,
BrumRo20,1898-03-05,1981-09-02
SmitTh20,1949-10-04,
PattEr00,1993-02-05,
VollJi00,1939-09-02,1998-06-01
LoriEr99,1986-11-17,
KochPe20,1962-01-23,
BrucAu20,1966-04-30,
MoslC.20,1983-08-06,
PlisJo20,1890-10-17,1940-08-25
BrowDo23,1974-09-29,
ElliCh99,1985-02-11,
HubkGe20,1924-05-18,2017-12-03
SopoIs20,1981-09-04,
GrifRo01,1990-02-12,
LarsSp99,1984-03-04,
SmitMa21,1975-01-13,
WillCa01,1958-06-12,
WillVi01,1989-12-27,
CostBr20,1974-12-24,
SupePh00,1990-01-30,
PiffBo20,1922-10-01,2017-12-09
SpenTo00,1962-07-26,
LeisRo20,1981-02-05,
KariDe00,1986-11-18,
EdwaWe20,1924-04-15,1988-05-06
BlacPe20,1899-10-11,1976-07-00
HolmTo21,1960-03-07,
HolcKe00,1973-07-09,
HarmTo20,1919-09-28,1990-03-15
HowaJo20,1965-09-14,
HendMa20,1964-10-20,
YeboPh20,1971-01-22,
KernGr20,1904-10-23,1983-01-25
AdduNi20,1929-07-12,2005-11-04
GranDa20,1959-11-22,
LundBi20,1924-10-27,2008-09-27
VisgGe20,1958-09-26,
BlaiSt20,1964-07-04,
DaviDo22,1972-12-17,
SnelGe20,1897-07-09,1962-06-11
AntwHo00,1939-04-11,2011-12-26
MillBi20,1936-11-17,2003-11-24
CochMa20,1963-05-06,
RichGl00,1942-07-18,
HudsDi20,1898-10-07,
McCaKe00,1970-01-06,
ShehRa00,1975-06-20,
HoakDi00,1939-12-08,
AlleDe00,1990-08-09,
BrowJo20,1977-03-05,
EarlGl20,1981-06-10,
JoneSe21,1970-05-13,
JackAr00,1977-04-09,
StarBa00,1934-01-09,
JoneBr01,1981-08-23,
WarnJo20,1979-05-15,
MoorCh00,1993-06-16,
LaHoMi20,1944-12-11,2013-05-30
SmitPr00,1992-11-17,
KarnAb20,1922-09-22,2015-01-09
BrowSt21,1960-03-20,
NixoJa00,1988-02-02,
ReutVi20,1909-12-01,1998-01-11
BurgMa20,1965-10-07,
GoodDw20,1978-05-29,
VolzPe20,1897-01-13,1993-08-07
HultGe20,1939-03-07,
ClemT.00,1991-11-18,
BattAi20,1978-11-06,
ParmJa00,1985-12-30,
