name,srid,active,hof,positions,start,end,letter
Isaako Aaitui,AaitIs00,False,False,NT,2013,2014,A
Joe Abbey,AbbeJo20,False,False,E,1948,1949,A
Fay Abbott,AbboFa20,False,False,BB-FB-TB-QB-WB-E,1921,1929,A
Vince Abbott,abbotvin01,False,False,K,1987,1988,A
Jared Abbrederis,AbbrJa00,True,False,WR,2014,2017,A
Duke Abbruzzi,AbbrDu20,False,False,HB-DB,1946,1946,A
Mehdi Abdesmad,AbdeMe00,True,False,DE,2016,2016,A
Karim Abdul-Jabbar,AbduKa00,False,False,RB,1996,2000,A
Isa Abdul-Quddus,AbduIs00,False,False,S,2011,2016,A
Ameer Abdullah,AbduAm00,True,False,RB,2015,2017,A
Hamza Abdullah,AbduHa20,False,False,DB,2005,2011,A
Husain Abdullah,AbduHu99,False,False,DB,2008,2015,A
Khalid Abdullah,AbduKh20,False,False,LB,2003,2003,A
Rabih Abdullah,AbduRa00,False,False,RB,1999,2004,A
Rahim Abdullah,AbduRa20,False,False,LB,1999,2000,A
Fred Abel,AbelFr20,False,False,BB-FB,1926,1926,A
Bud Abell,AbelBu20,False,False,LB,1966,1968,A
Walter Abercrombie,AberWa00,False,False,RB,1982,1988,A
Cliff Aberson,AberCl20,False,False,TB-DB,1946,1946,A
Victor Abiamiri,AbiaVi99,False,False,DE,2007,2009,A
Oday Aboushi,AbouOd00,True,False,OT,2014,2017,A
Clifton Abraham,AbraCl20,False,False,DB,1995,1997,A
Donnie Abraham,AbraDo00,False,False,DB,1996,2004,A
John Abraham,AbraJo00,False,False,DE,2000,2014,A
Robert Abraham,AbraRo20,False,False,LB,1982,1987,A
Danny Abramowicz,AbraDa00,False,False,E,1967,1974,A
Sid Abramowitz,AbraSi20,False,False,T,1983,1987,A
Bobby Abrams,AbraBo20,False,False,LB,1990,1995,A
Kevin Abrams,AbraKe20,False,False,DB,1997,1999,A
Nate Abrams,AbraNa20,False,False,E,1921,1921,A
George Abramson,AbraGe20,False,False,G-T,1925,1925,A
Dick Abrell,AbreDi20,False,False,BB-WB,1920,1920,A
Ray Abruzzese,AbruRa20,False,False,B,1962,1966,A
Frank Abruzzino,AbruFr20,False,False,BB-LB-C-G-E-WB-DB,1931,1933,A
Dick Absher,AbshDi20,False,False,LB-K,1967,1972,A
Steve Ache,AcheSt20,False,False,LB,1987,1987,A
